,Fecha,Tweet_texto,Nombre_cuenta,Hora
45,2023-01-07 17:21:42,"🗣 @VirBarcones:Esta medida incentiva el papel del transporte público colectivo para afrontar el escenario actual de altos precios de la energía, consiguiendo fomentar el cambio a un medio de transporte más seguro, fiable, cómodo, económico y sostenible que el vehículo particular",Salamanca_Gob,17
46,2023-01-07 16:05:09,"Alicante impulsa su Plan de Energía Sostenible con la instalación de más de 3.000 paneles solares @alicanteayto
 https://t.co/l5PNlXBAxt",DiarioAlicante_,16
47,2023-01-07 15:44:21,"🚌 Los viajeros habituales de 1️⃣8️⃣líneas de bus de competencia estatal en #CyL viajarán gratis en2️⃣0️⃣2️⃣3️⃣

🗣️@VirBarcones:""@desdelamoncloa protege la economía de las familias ante el aumento del coste de la energía e impulsa el transporte público, más seguro, fiable y sostenible” https://t.co/hUUC8F0Ewe",DGCyL,15
48,2023-01-07 13:38:30,"@walares_ @_axtone Me he sentido muy bien y con más energía, el descansar bien ayuda muchísimo, creo que no es sostenible a largo tiempo el andarse desvelando diario, la salud lo resiente y mas por nuestro trabajo que es muy sedentario.",Paulo_Trujillo,13
49,2023-01-07 12:53:39,"2. Algunos ejemplos de recursos renovables incluyen la energía solar, eólica y hidráulica, así como la madera y el agua. Estos recursos se pueden utilizar de manera sostenible sin agotar sus reservas, siempre y cuando se gestionen adecuadamente.",Skynet_IA_2100,12
50,2023-01-07 12:46:29,#Casabermeja elabore un plan para el desarrollo de comunidades solares. Somos un pueblo de 3600 habitantes. Estudien todas las instalaciones municipales y proporcionen estructuras que permitan ofertar energía a precios razonables para sus vecinos. Por una #Casabermeja sostenible,_juanmacampos,12
51,2023-01-07 12:06:28,"Cuaderno de Química de Alfonso Martínez Miguel: HIDRÓGENO BARATO Y SOSTENIBLE MEDIANTE ENERGÍA SOLAR
https://t.co/bWn7UtM0Fe https://t.co/IvFJIG5J5h",AlfonsoMtnezMig,12
52,2023-01-07 12:01:49,"Cuaderno de Química de Alfonso Martínez Miguel: HIDRÓGENO BARATO Y SOSTENIBLE MEDIANTE ENERGÍA SOLAR
https://t.co/BAM8rAs0kQ https://t.co/PtiAD2A1TV",_ProfeAlfonso,12
53,2023-01-07 11:56:57,"Cuaderno de Química de Alfonso Martínez Miguel: HIDRÓGENO BARATO Y SOSTENIBLE MEDIANTE ENERGÍA SOLAR
https://t.co/kqI9cNQJpK https://t.co/GQ3m2F2WFd",MaestroAlfonso,11
54,2023-01-07 11:50:04,Cuaderno de Química de Alfonso Martínez Miguel: HIDRÓGENO BARATO Y SOSTENIBLE MEDIANTE ENERGÍA SOLAR https://t.co/60VKxldiyK https://t.co/oGQy6I0dlB,amartinezmiguel,11
55,2023-01-07 11:06:04,"@evahernand @rancio Eva. Usa tu energía en estudiar sobre el tema. date cuenta de que consumes mucha energía en tontás, y que te genera una ansiedad que destruye tu salud de forma lenta pero mucho más rápida que la edad. Educa a tu(s) peque(s) para que estudien y así sean felices, no como tú.",_Sostenible_,11
56,2023-01-07 11:00:43,"Será una ciudad totalmente sostenible, donde la energía solar y la impulsada por pila de combustible de hidrógeno tendrán gran importancia #WovenCity #Toyota

https://t.co/hZBBeVKGaq.",koldoorrantia,11
57,2023-01-07 09:57:29,@MinEnergia Así nos tiene la energía sostenible y verde dando la lucha para que no instalen sus torres eólicas sobre nuestras casas solo porque las empresas eólicas no quieren invertir en llegar lugares alejados más adecuados que en chile existen de sobra https://t.co/JELzm4fMf1,Edgardohg7,9
58,2023-01-07 09:55:19,"@SOLABRIA Para eso se fichan a políticos en las energéticas , para que no deje de llover el dinero.
Con la de millones de m² de techos y fachadas que harían sostenible al país entero y energía casi gratis.",SamuelSanLo,9
59,2023-01-07 08:43:34,"#Ciencia | #Hidrógeno barato y #sostenible mediante energía solar
https://t.co/hNLz4M0ZCd",MurciaNoticias,8
60,2023-01-07 08:00:01,"Servicios como SmartThings Energy estableciendo nuevos estándares para la eficiencia del hogar, los últimos electrodomésticos Bespoke de Samsung permiten que los usuarios ahorren energía y dinero https://t.co/aLM3lL8cC1",hispanopost,8
61,2023-01-07 08:00:01,"Servicios como SmartThings Energy estableciendo nuevos estándares para la eficiencia del hogar, los últimos electrodomésticos Bespoke de Samsung permiten que los usuarios ahorren energía y dinero https://t.co/aLM3lL8cC1",hispanopost,8
62,2023-01-07 03:15:34,🔘 La vida sostenible sube de nivel en los nuevos electrodomésticos #CES2023 #Energía #Hogar #Lanzamiento Dale ♥️ abre el link Sigue leyendo... https://t.co/gKQV7C3lTH Dale ♥️ abre el link https://t.co/fxx3uoiVKn,discoduro,3
63,2023-01-06 21:39:42,"Estamos listos para seguir fortaleciendo los lazos con nuestras comunidades a través de proyectos e iniciativas que promuevan el desarrollo sostenible de Antioquia. 

Con aliados importantes seguiremos avanzando llevando la Energía que Impulsa Desarrollo y transforma vidas. https://t.co/kYJgnM8ExG",TransmetanoESP,21
